title,uri,favicon,slant,is_embeddable,reliability
HMS,hms.ba,None,3,True,20
Impuls portal,impulsportal.net,None,1,True,38
Index.ba,index.ba,None,3,True,25
Info Srpska,infosrpska.ba,None,3,True,17
Klix,klix.ba,None,2,True,36
Logično,logicno.com,None,3,True,16
N1 BIH,n1info.com,None,1,True,39
Nezavisne novine,nezavisne.com,None,3,True,26
Novi,novi.ba,None,3,True,20
Oslobođenje,oslobodjenje.ba,None,2,True,33
Poskok.info,poskok.info,None,3,True,19
Radio Kameleon,radiokameleon.ba,None,1,True,32
Radio Sarajevo,radiosarajevo.ba,None,2,True,29
Raport,raport.ba,None,3,True,30
RTRS,rtrs.tv,None,3,True,17
RTV BN,rtvbn.com,None,2,True,31
RTV USK,rtvusk.ba,None,2,True,36
SAFF,saff.ba,None,3,True,19
Slobodna Bosna,slobodna-bosna.ba,None,3,True,20
Buka,6yka.com,None,1,True,31
AlJazeera Balkans,aljazeera.net,None,1,True,38
Alternativna TV,atvbl.com,None,3,True,23
Dnevni Avaz,avaz.ba,None,3,True,25
Biscani.net,biscani.net,None,3,True,29
Bljesak.info,bljesak.info,None,3,True,28
Cazin.net,cazin.net,None,3,True,25
Deblokada,deblokada.com,None,3,True,17
DEPO portal,depo.ba,None,3,True,23
Dnevni.ba,dnevni.ba,None,3,True,30
Dnevnik.ba,dnevnik.ba,None,3,True,26
Face.ba,face.ba,None,3,True,24
Faktor,faktor.ba,None,3,True,25
Federalna.ba,federalna.ba,None,1,True,39
Fokus,fokus.ba,None,1,True,37
Fresh press,freshpress.info,None,3,True,19
Glas Srpske,glassrpske.com,None,3,True,22
Hayat.ba,hayat.ba,None,3,True,26
Hercegovina.info,hercegovina.info,None,3,True,25
Source,source.ba,None,3,True,33
СРНА,srna.rs,None,3,True,22
Srpska.info,srpskainfo.com,None,3,True,27
STAV,stav.ba,None,3,True,23
Tačno.net,tacno.net,None,1,True,35
TIP,tip.ba,None,2,True,27
Tuzlanski.ba,tuzlanski.ba,None,2,True,33
Večernji list,vecernji.ba,None,3,True,23
Vijesti.ba,vijesti.ba,None,2,True,28
Zenit.ba,zenit.ba,None,2,True,32
Žurnal,zurnal.info,None,1,True,40
